75.0000,40.0000,1000.0000
71.7023,54.8397,991.7557
69.7093,58.1059,990.1480
68.3744,63.4476,988.6979
65.2225,71.1196,980.2898
67.2790,75.2992,985.5566
69.8327,80.8545,977.2924
63.5899,82.5573,976.7369
64.8949,79.7129,979.9316
65.7357,87.9261,981.3840
64.6325,79.7482,974.1673
65.8142,85.2830,976.0773
65.0858,84.6137,975.2146
65.0001,84.9996,975.0002
66.1253,84.4710,974.8711
64.2311,84.4580,975.7083
67.1081,83.6325,976.1745
65.2508,85.1717,980.5341
71.5760,82.2413,975.0529
70.8969,91.6486,974.0504
61.0061,76.2727,979.2276
65.5666,66.3610,980.6132
73.1720,53.5622,986.1229
73.6040,43.6083,998.2685
74.7731,41.0211,999.4327
74.9808,40.0865,999.9519
76.7794,39.5325,998.9434
75.7928,41.4731,998.9463
80.7410,39.9313,998.6921
74.3774,44.1841,995.8054
75.1818,43.3072,1000.0842
70.3918,49.0657,1002.9250
79.2718,52.4506,994.8209
68.1190,62.2873,984.3813
64.4536,76.1966,985.9863
64.8543,78.9925,979.2729
65.7743,81.5158,976.9356
65.1937,84.1285,975.4842
63.2534,83.2006,974.9663
65.9618,79.4980,983.6584
66.1868,74.5386,982.7455
68.6553,63.7691,991.3915
71.8381,48.7011,992.1189
74.2436,42.2183,999.7115
66.8880,43.1247,1002.5685
73.6864,42.6605,999.6263
73.6720,41.6271,998.7352
74.1683,39.5937,999.8626
74.9852,40.0664,999.9631
74.7323,41.2047,999.3307
73.5545,42.5706,999.9498
74.9529,42.7480,994.7594
68.2493,44.0640,998.6321
76.3861,45.5297,989.7625
73.0569,46.8839,997.6156
67.9717,55.1544,990.6137
70.9304,52.6779,984.7526
73.5676,61.4261,991.3925
68.7542,68.1248,982.2120
70.1277,72.5061,981.2920
66.9675,76.1461,979.9188
